,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M94,0.16922398,0.12188162,0.08301828,0.04629428,0.11698476,0.07572802,0.16311115,0.059069596,0.033949643,0.026864702,0.044703178,0.013213614,0.083651505,0.1331807,0.08719438,0.16283575,0.034313288,0.11185936,0.046291523,0.15912192,0.08863246,0.09973528,0.09401312,0.05147148
M14,0.07459483,0.13371688,0.13330415,0.15988313,0.10856534,0.1599806,0.060253408,0.03300831,0.07641476,0.1762003,0.10353765,0.114928715,0.16433519,0.14690344,0.05105176,0.10926856,0.06428403,0.0997052,0.12813544,0.05074766,0.052261695,0.08703356,0.146207,0.10994923
M2,0.014490613,0.09574786,0.116237804,0.14110403,0.073791005,0.06842638,0.054598507,0.090030394,0.13841976,0.115870476,0.13286944,0.038549762,0.05026403,0.06382988,0.051736176,0.11583214,0.10797007,0.13170044,0.08048849,0.14043167,0.079106435,0.15980409,0.08399687,0.08956434
M85,0.3197842,0.093257755,0.12380121,0.08348307,0.10682838,0.18862818,0.10059339,0.007706767,0.13927937,0.15027484,0.14166944,0.20410034,0.1347089,0.12802558,0.14930548,0.10276628,0.116776876,0.14798337,0.1731876,0.040832028,0.062124588,0.16055751,0.13847229,0.04358366
M64,0.14178403,0.13144389,0.11913072,0.08396427,0.25607988,0.03614834,0.12380892,0.122696966,0.14508736,0.08258539,0.027955558,0.13605712,0.017951753,0.18923156,0.11328015,0.23760338,0.1499429,0.16182876,0.15733878,0.095651805,0.17903143,0.09061484,0.0626093,0.10315934
M10,0.16876464,0.21601425,0.18300316,0.14647624,0.12062902,0.068375394,0.09478792,0.1878576,0.068823114,0.02893106,0.06717304,0.096240334,0.16252781,0.24766387,0.15666436,0.121612206,0.122274905,0.26196557,0.15437792,0.18986078,0.03639625,0.055836774,0.015642393,0.17295125
M24,0.0182733,0.10722695,0.15870267,0.09290916,0.040434603,0.071397364,0.1466925,0.20811115,0.18616995,0.08792247,0.11274023,0.05271837,0.03533349,0.025149612,0.21490784,0.16846488,0.17788711,0.12541547,0.16933604,0.2109411,0.13628261,0.12012825,0.030653797,0.046576
M84,0.29669723,0.17337677,0.17192535,0.26266938,0.19185553,0.11754939,0.14532937,0.04630067,0.12144838,0.0518251,0.10006941,0.11629125,0.24814345,0.114393294,0.21448195,0.051238723,0.13879728,0.12756902,0.2849078,0.16812314,0.0960726,0.030481169,0.10788959,0.09576035
M41,0.14248204,0.14581992,0.0939262,0.13874608,0.050014872,0.13522607,0.19846556,0.06811785,0.046182126,0.0588117,0.061527062,0.2840342,0.17835519,0.18693767,0.123235755,0.15877376,0.20964515,0.07287727,0.24061692,0.11880636,0.12233472,0.14665882,0.17359295,0.20062767
M13,0.1857877,0.1890872,0.15129805,0.10824518,0.10261317,0.27065566,0.2668195,0.15158492,0.21133476,0.089980535,0.039044872,0.252563,0.048642434,0.19699647,0.13977475,0.11629326,0.1428634,0.03850705,0.09289856,0.22205515,0.13455775,0.17954414,0.15124647,0.13411894
