,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M86,0.17821704,0.14279418,0.10434667,0.04222278,0.025282426,0.07636755,0.0687381,0.20624042,0.10852451,0.11320491,0.103801094,0.1266738,0.19772767,0.16369694,0.11330454,0.07344486,0.18163294,0.04764446,0.18533504,0.08195476,0.061411493,0.18478732,0.14003201,0.11751062
M9,0.15477572,0.030056715,0.13419214,0.052683398,0.2252128,0.18219756,0.09098916,0.07519116,0.08117703,0.17487103,0.08339518,0.12324385,0.10814944,0.067173496,0.28664652,0.04840432,0.021869045,0.04671989,0.17008768,0.21778277,0.1357318,0.054962847,0.07740644,0.102983795
M70,0.024291188,0.18421839,0.14466168,0.06469796,0.104740344,0.18621083,0.077456474,0.16936131,0.03583244,0.1433348,0.07667211,0.15098692,0.09202794,0.048677474,0.10509195,0.15830912,0.10399329,0.2691431,0.028725648,0.1895086,0.13248287,0.07196691,0.16452499,0.00395494
M18,0.070260294,0.22433247,0.18118519,0.11445647,0.12392976,0.028400311,0.13325994,0.14181674,0.1260624,0.02315803,0.057994016,0.3042615,0.26951894,0.11182365,0.0353436,0.18687133,0.034603983,0.09109071,0.23468398,0.13764307,0.17849368,0.075571515,0.055718597,0.12379365
M39,0.2646999,0.10537592,0.14845127,0.19465709,0.20900129,0.28300637,0.09541677,0.14966443,0.1828505,0.05909183,0.081966005,0.103992276,0.030777255,0.28942034,0.17326531,0.23305912,0.11992773,0.15385585,0.22839195,0.21300107,0.12958525,0.06118979,0.046326373,0.09664644
M56,0.20189345,0.24960212,0.0031632541,0.10974147,0.12493212,0.030856084,0.13773504,0.11838428,0.17403087,0.09400006,0.13006875,0.13752067,0.04895099,0.26660886,0.08971926,0.13318695,0.08254485,0.14261344,0.19898202,0.20895769,0.2103718,0.19470948,0.17324217,0.16329634
M92,0.15090922,0.06769471,0.12992167,0.055570927,0.057188377,0.10122606,0.09930495,0.10659321,0.21668622,0.18699022,0.12517847,0.06155974,0.09232395,0.20443119,0.11543622,0.08309701,0.056111272,0.06262209,0.12764388,0.1675543,0.080620155,0.024797015,0.15744798,0.13865314
M19,0.1580699,0.09454767,0.12749979,0.2131636,0.05902938,0.19926517,0.053590756,0.11832464,0.12041163,0.17300151,0.24201669,0.05411607,0.17398174,0.21671182,0.1719723,0.20195548,0.17564672,0.30558032,0.14775285,0.029330771,0.11343838,0.076377675,0.045949213,0.25627574
M10,0.06473581,0.06381077,0.10678664,0.012470351,0.10078296,0.08424432,0.095273495,0.106313676,0.08414975,0.11854688,0.04531105,0.12319167,0.124022715,0.028142763,0.09665328,0.06391225,0.17448986,0.11120515,0.10428221,0.0771469,0.07404885,0.14381234,0.059760854,0.0766063
M82,0.04765731,0.20782417,0.16151485,0.38621876,0.06565023,0.4671526,0.06675665,0.04593848,0.16888651,0.08934751,0.03151448,0.07197772,0.13616006,0.18267295,0.21269211,0.21908206,0.20765683,0.15659462,0.24537909,0.21072474,0.1545184,0.14642756,0.04982488,0.051712982
M62,0.059419572,0.10199554,0.08797534,0.057490647,0.12085582,0.14440446,0.07416345,0.018554414,0.12123761,0.1620938,0.11142568,0.11677184,0.10799519,0.09485745,0.27780297,0.06966857,0.24154596,0.06224269,0.1589543,0.10007552,0.07489267,0.06755068,0.1879223,0.10376502
M63,0.13583814,0.14335603,0.15893064,0.1567473,0.08107835,0.10067723,0.14298272,0.18479212,0.120824575,0.10854068,0.13597709,0.18974176,0.2002137,0.06630835,0.26023564,0.123735785,0.31722215,0.056426514,0.10889086,0.18991517,0.1774183,0.24917771,0.16060509,0.20033689
